IRIS ID;zone;vegetation;0-5cm;5-10cm;10-15cm;15-20cm;20-25cm;25-30cm;month;ID;ID_monthly;ID_plot
23b;pioneer;non-veg;0.010112888;7.70E-05;0;0;0.121592484;0.165306437;August;148;4;2
24a;pioneer;non-veg;0.003636645;0;0.002193314;0.004008471;0.030328241;0.056972081;August;149;5;3
24b;pioneer;non-veg;0.009198927;0.001574331;0;0.005847515;0.004358281;0.011041839;August;150;6;3
25a;pioneer;non-veg;0.01699158;0.012047297;0.00610119;0.000297265;0.002452984;0.005128205;August;151;7;4
25b;pioneer;non-veg;0.015470111;0.008186444;0.000810851;0.000811449;0.00088476;0.052522868;August;152;8;4
26a;pioneer;non-veg;0.01089161;0.05474103;0.761605094;0.792991276;0.611681311;0.499408459;August;153;9;5
26b;pioneer;non-veg;0.019491147;0.364801865;0.786656945;0.562208964;0.281407402;0.610159652;August;154;10;5
27a;pioneer;non-veg;0.013654984;0.301596777;0.734922696;0.933151047;0.812353584;0.846423135;August;155;11;6
27b;pioneer;non-veg;0.086081274;0.01061008;0.490797546;0.703506829;0.548629531;0.515218513;August;156;12;6
28a;pioneer;veg;0.071701051;0.12365754;0.040929036;0.014945859;0.012513272;0.14778136;August;157;13;7
28b;pioneer;veg;0.061474187;0.043262204;0.032229774;0.020493303;0.086136297;0.108630408;August;158;14;7
29a;pioneer;veg;0.093520273;0.048602854;0.020659929;0.3817265;0.816159251;0.842803753;August;159;15;8
29b;pioneer;veg;0.090422804;0.092214881;0.084053587;0.317662282;0.799665016;0.846259785;August;160;16;8
30a;pioneer;veg;0.017779473;0.001050578;0.003095975;0.066843703;0.050896384;0.086622557;August;161;17;9
30b;pioneer;veg;0.005475702;0.017905103;0.004044338;0.069024957;0.217659446;0.204851752;August;162;18;9
31a;pioneer;veg;0.011782708;0.007946623;0.0023997;0.005025126;0.122062908;0.108272597;August;163;19;10
31b;pioneer;veg;0.005644912;0.003675368;0.004048279;0.009445985;0.016196761;0.048906919;August;164;20;10
32a;pioneer;veg;0.263868529;0.851840584;0.288147139;0.222146585;0.683277795;0.810013614;August;165;21;11
32b;pioneer;veg;0.077312959;0.551688234;0.518185199;0.545806068;0.734340128;0.732193309;August;166;22;11
33a;pioneer;veg;0.042982591;0.171002874;0.577407127;0.510710771;0.665339865;0.473987126;August;167;23;12
33b;pioneer;veg;0.156346069;0.348554581;0.619394902;0.611541584;0.638575801;0.721237609;August;168;24;12
34a;low_marsh;non-veg;0.013655783;0.018897638;7.50E-05;0.000224989;0.002943174;0.022739331;August;169;25;13
34b;low_marsh;non-veg;0.003763927;0.010036429;0.004166667;0.00951956;0.016543154;0.03168302;August;170;26;13
35a;low_marsh;non-veg;0;0.004585432;0.01734104;0.074107615;0.187135389;;August;171;27;14
35b;low_marsh;non-veg;0;0.000668847;0.000222949;0.003864447;0.000668847;;August;172;28;14
36a;low_marsh;non-veg;0.048015123;0.037232461;0.039387634;0.018133175;0.029800832;0.065670088;August;173;29;15
36b;low_marsh;non-veg;0.020642722;0.020511296;;;;;August;174;30;15
37a;low_marsh;non-veg;0.032219029;0.036962665;0.022372529;0.026247305;0.043636634;0.029280618;August;175;31;16
37b;low_marsh;non-veg;0.008698857;0.010086351;0.009274018;0.011371044;0.012457449;0.082721524;August;176;32;16
38a;low_marsh;non-veg;0.001525553;0;0.000749681;0.00524777;0.014534227;0.022050466;August;177;33;17
38b;low_marsh;non-veg;0.031295211;0.031796025;0.011346558;0.002873563;0.022673845;0.014269275;August;178;34;17
39a;low_marsh;non-veg;0.033979113;0.000447094;0.006652216;0.020061382;0.080577897;0.094971232;August;179;35;18
39b;low_marsh;non-veg;0.019007634;0.000149936;7.51E-05;0.049886792;0.089573603;0.037507608;August;180;36;18
40a;low_marsh;veg;0.110176493;0.060362618;0.112488014;0.041270543;0.020489387;0.117616695;August;181;37;19
40b;low_marsh;veg;0.005034325;0.00239898;0.017995051;0.010646274;0.009378048;0.054534544;August;182;38;19
41a;low_marsh;veg;0.004607952;0.095060646;0.201154464;0.264497258;0.320633016;0.548773322;August;183;39;20
41b;low_marsh;veg;0.00267441;0.002099108;0.009520954;0.133147884;0.09070431;0.022790314;August;184;40;20
42a;low_marsh;veg;0.045922649;0.103530999;0.179023915;0.30656168;0.195210395;0.169553052;August;185;41;21
42b;low_marsh;veg;0.023874905;0.000899618;0.007571782;0.121148512;0.120471968;0.076154713;August;186;42;21
43a;low_marsh;veg;0.014718283;0.015218532;0.028637829;0.271384851;0.169394804;0.246390977;August;187;43;22
43b;low_marsh;veg;0.040172387;0.034487975;0.22404661;0.054761364;0.026475038;0.0579347;August;188;44;22
44a;low_marsh;veg;0.00188132;0.017015707;0.0144749;0.009932245;0.014089929;0.046361186;August;189;45;23
44b;low_marsh;veg;0.03405645;0.042655475;0.012972148;0.012056467;0.117750305;0.163676617;August;190;46;23
45a;low_marsh;veg;0.051173202;0.049435991;0.122493758;0.367970938;0.309862351;0.329551471;August;191;47;24
45b;low_marsh;veg;0.707976668;0.360962169;0.064511334;0.081010777;0.16376747;0.41738677;August;192;48;24
46a;high_marsh;non-veg;0.000152555;0;0;0.000828875;;;August;193;49;25
46b;high_marsh;non-veg;0;0;0;0.012508376;;;August;194;50;25
47a;high_marsh;non-veg;0.007048062;0.009462556;0.017947197;;;;August;195;51;26
47b;high_marsh;non-veg;0.00241966;0.000891795;0.000148666;;;;August;196;52;26
48a;high_marsh;non-veg;0.009885536;0.016800584;0.022279036;0.026880935;0.107021731;0.965653225;August;197;53;27
48b;high_marsh;non-veg;0;0.000884108;0.012524866;0.023207839;;;August;198;54;27
49a;high_marsh;non-veg;0.00090799;0;0;0;0.004237603;0.013996426;August;199;55;28
49b;high_marsh;non-veg;0.003944039;0.005920187;0.001753104;0.000292184;0.011102995;0.026175331;August;200;56;28
50a;high_marsh;non-veg;0.003646376;0.00828385;0.004563857;0.010201819;0.014358295;;August;201;57;29
50b;high_marsh;non-veg;0;0;7.50E-05;0.002548917;0.011397087;;August;202;58;29
51a;high_marsh;non-veg;0.006896552;0.008767406;0.009577838;0.017838714;0.020936233;;August;203;59;30
51b;high_marsh;non-veg;0;0;0;0.009147484;0.052710505;;August;204;60;30
52a;high_marsh;veg;0.020561574;0.026365348;0.029852909;0.070569483;;;August;205;61;31
52b;high_marsh;veg;0.020707443;0.025277033;0.021003839;0.035127109;;;August;206;62;31
53a;high_marsh;veg;0.003832265;0.004418049;0.030998769;0.035282185;;;August;207;63;32
53b;high_marsh;veg;0.017318889;0.011371044;0.008691244;0.01195046;;;August;208;64;32
54a;high_marsh;veg;0.000378129;0.015756224;0.059554828;0.01184763;0.033468408;;August;209;65;33
54b;high_marsh;veg;0.025581226;0.029872079;0.027377625;0.026742594;0.043722134;;August;210;66;33
55a;high_marsh;veg;0.016842595;0.028739979;0.12365754;0.072082293;0.051388784;0.034559048;August;211;67;34
55b;high_marsh;veg;0.015581272;0.004681926;0.001412324;0.001337793;0.009149743;0.043964288;August;212;68;34
56a;high_marsh;veg;0.039168242;0.050386445;0.033083042;0.033529106;0.110606624;0.177091856;August;213;69;35
56b;high_marsh;veg;0.022230624;0.017984542;0.011147444;0.092895363;0.075739557;0.153972032;August;214;70;35
57a;high_marsh;veg;0.005969049;0.040197002;0.038965742;0.132613892;0.147589706;;August;215;71;36
57b;high_marsh;veg;0.000148644;0.032724617;0.007815924;0.100820032;0.16875412;;August;216;72;36
22a;pioneer;non-veg;0.021801233;0.003348463;0.000149544;0.000448363;0.120258813;0.344932936;September;217;1;1
22b;pioneer;non-veg;0.02150212;0.015903686;0.00588893;0.003133159;0.121214398;0.370748299;September;218;2;1
23a;pioneer;non-veg;0.006004619;0.000378158;0.000226895;0.000378158;0.004084102;0.14177292;September;219;3;2
23b;pioneer;non-veg;0.048369565;0.007020221;0;0.005951927;0.170664629;0.48105424;September;220;4;2
24a;pioneer;non-veg;0.038910801;0.032624851;0.029059829;0.029473057;0.030505952;0.027113594;September;221;5;3
24b;pioneer;non-veg;0.039766259;0.040062435;0.02824019;0.016955455;0.043416846;0.02170197;September;222;6;3
25a;pioneer;non-veg;0.022361771;0.013893061;0.002028245;0.000524816;0.006748144;0.030066732;September;223;7;4
25b;pioneer;non-veg;0.028180846;0.019818332;0.010425261;0.000600601;0.004653607;0.011919934;September;224;8;4
26a;pioneer;non-veg;0.069811464;0.015201192;0.14051259;0.322824057;0.613952796;0.474668862;September;225;9;5
26b;pioneer;non-veg;0.011504975;0.025772034;0.091127458;0.295190215;0.207150922;0.257036925;September;226;10;5
27a;pioneer;non-veg;0.011578695;0.005194408;0.072361886;0.446928653;0.603433804;0.72733527;September;227;11;6
27b;pioneer;non-veg;0.079438437;0.016415299;0.144252274;0.635022355;0.59855375;0.767976775;September;228;12;6
28a;pioneer;veg;0.024558346;0.012592369;0.006951791;0.000904704;0.013981809;0.119219219;September;229;13;7
28b;pioneer;veg;0.024075206;0.015821836;0.005413941;0.014919778;0.089661413;0.340171972;September;230;14;7
29a;pioneer;veg;0.007090036;0.005735141;7.43E-05;0.085835315;0.408131411;0.518843381;September;231;15;8
29b;pioneer;veg;0.012208068;0.009375698;0.00655347;0.186459572;0.519099287;0.451991677;September;232;16;8
30a;pioneer;veg;0.001066504;0.001419818;0.006189411;0.000298753;0.012222388;0.265015295;September;233;17;9
30b;pioneer;veg;0.009722641;0.009751053;0.009532254;0.009009674;0.04817766;0.283650302;September;234;18;9
31a;pioneer;veg;0.010467656;0.003261917;0.00133077;0.002373183;0.031169023;0.106603494;September;235;19;10
31b;pioneer;veg;0.005652272;0.008410181;0.011525674;0.058462676;0.07611432;0.045067082;September;236;20;10
32a;pioneer;veg;0.024492234;0.260342055;0.147138367;0.217213414;0.459771796;0.465332067;September;237;21;11
32b;pioneer;veg;0.007411983;0.001575158;0.030671166;0.06484744;0.27398185;0.086545673;September;238;22;11
33a;pioneer;veg;0.009750332;0.005667781;0.09746716;0.537207449;0.683126677;0.751873136;September;239;23;12
33b;pioneer;veg;0.055904856;0.076211782;0.424233381;0.487291914;0.309824614;0.687583643;September;240;24;12
34a;low_marsh;non-veg;0.078054638;0.014582871;0.073196106;0.139283853;0.058039392;0.016078373;September;241;25;13
34b;low_marsh;non-veg;0;0;0.017175429;0.009547436;0.015089784;0.011869882;September;242;26;13
35a;low_marsh;non-veg;0.009149338;0.004904875;0.028091558;0.032852683;0.00476155;0.010008216;September;243;27;14
35b;low_marsh;non-veg;0.015506808;0.002527317;0.008482774;0.000223897;0.001422156;0.009336022;September;244;28;14
36a;low_marsh;non-veg;0.008649868;0.000221043;0.008620055;0.011493406;0.008472703;0.019113036;September;245;29;15
36b;low_marsh;non-veg;0.00015273;0;0;0.000826198;0.00899955;0.018514286;September;246;30;15
37a;low_marsh;non-veg;0.009138095;0.011420773;0.017164608;0.028801264;0.013797068;0.0211953;September;247;31;16
37b;low_marsh;non-veg;0.002730168;0.00014902;0.001412429;0;0.001114744;0.012656343;September;248;32;16
38a;low_marsh;non-veg;0.016299494;0.010720317;0.00252132;0.007506503;0.021054981;0.10650141;September;249;33;17
38b;low_marsh;non-veg;0.001518372;0.000223198;0.002161115;0.085825359;0.03467905;0.109511376;September;250;34;17
39a;low_marsh;non-veg;0.009696037;0;0;0.002344755;0.002428474;0.016507648;September;251;35;18
39b;low_marsh;non-veg;0.007158251;0;0;0.000378158;0.017623478;0.078100023;September;252;36;18
40a;low_marsh;veg;0.19491716;0.005700998;0.431624897;0.078824876;0.000763884;0.040137878;September;253;37;19
40b;low_marsh;veg;0.01482727;0.131194242;0.066991748;0.040295605;0.012972148;0.008318071;September;254;38;19
41a;low_marsh;veg;0.024386503;0.012133544;0.009319805;0.00644726;0.003298598;0.067791526;September;255;39;20
41b;low_marsh;veg;0.008372093;0.000606888;0.001210287;0.000680684;0.011949781;0.00887372;September;256;40;20
42a;low_marsh;veg;0.007857197;0.02818802;0.00719856;0.002628614;0.000687075;0.012725182;September;257;41;21
42b;low_marsh;veg;0.02480714;0.01382283;0.013973539;0.004904875;0.007536189;0.047332832;September;258;42;21
43a;low_marsh;veg;0.05986918;0.07895931;0.017092724;0.000529501;0.000912686;0.031001833;September;259;43;22
43b;low_marsh;veg;0.035087719;0.022189349;0.01275059;0.002800708;0.006410256;0.024916574;September;260;44;22
44a;low_marsh;veg;0.015546055;0.006410256;0.001144601;0.002975963;0.004428495;0.014051165;September;261;45;23
44b;low_marsh;veg;0.024857627;0.015126305;0.004916421;0.001890788;0.043866283;0.03017926;September;262;46;23
45a;low_marsh;veg;0.016058622;0.005739649;0.013288529;0.008775277;0.041968714;0.100801221;September;263;47;24
45b;low_marsh;veg;0.034684754;0.019346028;0.013337375;0.010059753;0.083724096;0.073816367;September;264;48;24
46a;high_marsh;non-veg;0.024836407;0.022648977;0.020189321;0.015540591;0.015126919;0.016309586;September;265;49;25
46b;high_marsh;non-veg;0.000915332;0.001949172;0.00104979;0;0.000150049;0.013522702;September;266;50;25
47a;high_marsh;non-veg;0.000457841;0;0.000149936;0;0;0.03029167;September;267;51;26
47b;high_marsh;non-veg;0.017772693;0.016792863;0.015143564;0.00322363;0;0.079991004;September;268;52;26
48a;high_marsh;non-veg;0.009390729;0.008914757;0.004568229;0.004199514;0.009506964;0.020414179;September;269;53;27
48b;high_marsh;non-veg;0.03524429;0.026178789;0.016052319;0.00698677;0.00037172;0.013079667;September;270;54;27
49a;high_marsh;non-veg;0.053724054;0.021066047;0.009595922;0;0.005322738;0.009306515;September;271;55;28
49b;high_marsh;non-veg;0.008696979;0.000224904;0;0.000224921;0.001725431;0.172351751;September;272;56;28
50a;high_marsh;non-veg;0.009224953;0.004830559;0.103078184;0.189083528;0.051196269;0.98381295;September;273;57;29
50b;high_marsh;non-veg;0.016284455;0.007676976;0.001115988;0.001485112;0.023379305;;September;274;58;29
51a;high_marsh;non-veg;0.001385895;0;0;0.000226895;0;;September;275;59;30
51b;high_marsh;non-veg;0;0;0;0;0.001949172;0.098312711;September;276;60;30
52a;high_marsh;veg;0.004540557;0.00098321;0.000453858;0.006731206;0.00990773;0.029345031;September;277;61;31
52b;high_marsh;veg;0.003705104;0;0;0.001337693;0.005127824;0.032178954;September;278;62;31
53a;high_marsh;veg;0.008773955;0.002420209;0;0;0;0.045609258;September;279;63;32
53b;high_marsh;veg;0.0011994;7.37E-05;0;0.000147351;0.000368378;0.012894194;September;280;64;32
54a;high_marsh;veg;0.010079414;0.000300075;0.000449337;0.004263276;0.013971306;0.043882679;September;281;65;33
54b;high_marsh;veg;0.000839118;0;0.00022531;0;0.009573741;0.021265284;September;282;66;33
55a;high_marsh;veg;0.001601831;7.50E-05;0.006372292;0.05345629;0.017555706;0.030481283;September;283;67;34
55b;high_marsh;veg;0.025482042;0.01843044;0.01122176;0.70984764;0.46764465;0.12357457;September;284;68;34
56a;high_marsh;veg;0.001601831;0.024589549;0.020166429;0.004797961;0.025938976;0.063668444;September;285;69;35
56b;high_marsh;veg;0.023213611;0.021700357;0.009661118;0.003715815;0;0.022146254;September;286;70;35
57a;high_marsh;veg;0.041596056;0.027455442;0.001739525;0.002193314;0.010361519;0.037437604;September;287;71;36
57b;high_marsh;veg;0.005830683;0.000223297;0.002378121;0.002229489;0.003269917;0.040651011;September;288;72;36
